source,target,relation,description,source_chunk
Radio City,India,located_in,Radio City is located in India,unknown_0
Radio City,Abraham Thomas,CEO,Abraham Thomas is the CEO of Radio City,unknown_0
Radio City,Hindi,plays,Radio City plays Hindi music,unknown_0
Radio City,English,plays,Radio City plays English music,unknown_0
Radio City,Regional,plays,Radio City plays Regional music,unknown_0
Radio City,Music,plays,Radio City plays music,unknown_0
Launch,Radio City,initiated,Launch initiated Radio City,unknown_0
New Media,PlanetRadiocity.com,related_to,New Media is related to PlanetRadiocity.com,unknown_0
PlanetRadiocity.com,Radio City,related_to,PlanetRadiocity.com is related to Radio City,unknown_0
Mumbai,Radio City,located_in,Mumbai is located in Radio City,unknown_0
Bengaluru,Radio City,located_in,Bengaluru is located in Radio City,unknown_0
Lucknow,Radio City,located_in,Lucknow is located in Radio City,unknown_0
New Delhi,Radio City,located_in,New Delhi is located in Radio City,unknown_0
Hyderabad,Radio City,located_in,Hyderabad is located in Radio City,unknown_0
Chennai,Radio City,located_in,Chennai is located in Radio City,unknown_0
Visakhapatnam,Radio City,located_in,Visakhapatnam is located in Radio City,unknown_0
2001,Launch,year_of,2001 is the year of Launch,unknown_0
2004,Launch,year_of,2004 is the year of Launch,unknown_0
2006,Launch,year_of,2006 is the year of Launch,unknown_0
2007,Launch,year_of,2007 is the year of Launch,unknown_0
2008,Launch,year_of,2008 is the year of Launch,unknown_0
Football in Albania,Albanian Football Federation,precedes,Albanian Football Federation was created after football existed in Albania,unknown_0
Football in Albania,Balkan Cup tournament,participation,Albania participated in the Balkan Cup tournament,unknown_0
Albanian National Team,Yugoslavia,defeated,Albania defeated Yugoslavia in 1946,unknown_0
Albanian Football Federation,FIFA,membership,Albania joined FIFA in 1932,unknown_0
Albanian Football Federation,UEFA,membership,Albania was one of the founding members of UEFA in 1954,unknown_0
Echosmith,Sydney Sierota,member,Sydney Sierota is a member of Echosmith,unknown_0
Echosmith,Noah Sierota,member,Noah Sierota is a member of Echosmith,unknown_0
Echosmith,Graham Sierota,member,Graham Sierota is a member of Echosmith,unknown_0
Echosmith,Jamie Sierota,former member,Jamie Sierota was a former member of Echosmith,unknown_0
Echosmith,Chino,formed in,Echosmith was formed in Chino,unknown_0
Echosmith,California,formed in,Echosmith was formed in California,unknown_0
Echosmith,Warner Bros. Records,signed to,Echosmith signed to Warner Bros. Records,unknown_0
Echosmith,Cool Kids,released,Echosmith released the song Cool Kids,unknown_0
Echosmith,Talking Dreams,released,Echosmith released the album Talking Dreams,unknown_0
February,2009,month of,February is the month of 2009,unknown_0
Indie pop,Corporate indie pop,subgenre,Corporate indie pop is a subgenre of indie pop,unknown_0
Formation,Echosmith,process of creating,Echosmith was formed through the process of creation,unknown_0
Departure,Jamie Sierota,process of leaving,Jamie Sierota left Echosmith through the process of departure,unknown_0
Signing,Echosmith,process of signing,Echosmith signed to Warner Bros. Records through the process of signing,unknown_0
Release,Cool Kids,process of releasing,The song Cool Kids was released through the process of release,unknown_0
Release,Talking Dreams,process of releasing,The album Talking Dreams was released through the process of release,unknown_0
Women's colleges,Southern United States,location,Women's colleges are located in the Southern United States,unknown_0
Women's colleges,Liberal arts colleges,category,Women's colleges are a type of liberal arts college,unknown_0
Salem College,Women's colleges,instance,Salem College is an example of a women's college,unknown_0
Wesleyan College,Women's colleges,instance,Wesleyan College is an example of a women's college,unknown_0
Mary Baldwin University,Women's colleges,instance,"Mary Baldwin University offers coeducational courses at the graduate level, but is related to women's colleges",unknown_0
First Arthur County Courthouse and Jail,United States,located_in,the courthouse is located in the United States,unknown_0
First Arthur County Courthouse and Jail,courthouse,instance_of,the First Arthur County Courthouse and Jail is an example of a courthouse,unknown_0
First Arthur County Courthouse and Jail,jail,instance_of,the First Arthur County Courthouse and Jail is an example of a jail,unknown_0
First Arthur County Courthouse and Jail,museum,instance_of,the First Arthur County Courthouse and Jail is now a museum,unknown_0
Arthur's Magazine,T.S. Arthur,edited_by,T.S. Arthur was the editor of Arthur's Magazine,unknown_0
Arthur's Magazine,Edgar A. Poe,featured_work_by,Edgar A. Poe's work was featured in Arthur's Magazine,unknown_0
Arthur's Magazine,Philadelphia,published_in,Arthur's Magazine was published in Philadelphia,unknown_0
Arthur's Magazine,19th century,published_during,Arthur's Magazine was published during the 19th century,unknown_0
Arthur's Magazine,Godey's Lady's Book,merged_into,Arthur's Magazine was merged into Godey's Lady's Book in May 1846,unknown_0
2014–15 Ukrainian Hockey Championship,Ukrainian Hockey Championship,instance_of,the 2014–15 season was an instance of the Ukrainian Hockey Championship,unknown_0
2014–15 Ukrainian Hockey Championship,Ukraine,location,the championship took place in Ukraine,unknown_0
Generals Kiev,Kiev,location,"Generals Kiev is a team from Kiev, Ukraine",unknown_0
ATEK Kiev,Kiev,location,"ATEK Kiev is a team from Kiev, Ukraine",unknown_0
HK Kremenchuk,Kremenchuk,location,"HK Kremenchuk is a team from Kremenchuk, Ukraine",unknown_0
ATEK Kiev,HK Kremenchuk,defeated,ATEK Kiev defeated HK Kremenchuk in the final,unknown_0
First for Women,Bauer Media Group,published_by,First for Women is published by Bauer Media Group,unknown_0
First for Women,USA,published_in,First for Women is published in the USA,unknown_0
First for Women,Englewood Cliffs,based_in,First for Women is based in Englewood Cliffs,unknown_0
First for Women,New Jersey,located_in,First for Women is located in New Jersey,unknown_0
First for Women,1989,started,First for Women started in 1989,unknown_0
First for Women,2011,circulation_data_available,Circulation data for First for Women is available in 2011,unknown_0
First for Women,circulation,has,"First for Women has a circulation of 1,310,696 copies in 2011",unknown_0
Freeway Complex Fire,Santa Ana Canyon,location,occurred in,unknown_0
Freeway Complex Fire,Orange County,location,occurred in,unknown_0
Freeway Complex Fire,California,location,occurred in,unknown_0
Freeway Fire,Santa Ana Canyon,location,occurred in,unknown_0
Landfill Fire,Santa Ana Canyon,location,occurred in,unknown_0
Freeway Complex Fire,Anaheim Hills,affected,destroyed residences,unknown_0
Freeway Complex Fire,Yorba Linda,affected,destroyed residences,unknown_0
Freeway Fire,Landfill Fire,caused,merged with,unknown_0
William Rast,Justin Timberlake,founding member,Justin Timberlake was a founding member of William Rast,unknown_0
William Rast,Trace Ayala,founding member,Trace Ayala was a founding member of William Rast,unknown_0
William Rast,premium jeans,product,William Rast is known for their premium jeans,unknown_0
William Rast,fashion show,event,William Rast held a fashion show to launch their clothing line,unknown_0
William Rast,clothing line,type,William Rast is a clothing line,unknown_0
William Rast,men’s and women’s clothing,product,William Rast produces men’s and women’s clothing,unknown_0
William Rast,denim line,origin,William Rast started as a denim line,unknown_0
Ritz-Carlton Jakarta,Jakarta,located_in,Ritz-Carlton Jakarta is located in Jakarta,unknown_0
Ritz-Carlton Jakarta,Indonesia,located_in,Ritz-Carlton Jakarta is located in Indonesia,unknown_0
Ritz-Carlton Jakarta,The Ritz-Carlton Hotel Company,operated_by,Ritz-Carlton Jakarta is operated by The Ritz-Carlton Hotel Company,unknown_0
Ritz-Carlton Jakarta,hotel,instance_of,Ritz-Carlton Jakarta is an instance of a hotel,unknown_0
Ritz-Carlton Jakarta,skyscraper,instance_of,Ritz-Carlton Jakarta is an instance of a skyscraper,unknown_0
Ritz-Carlton Jakarta,Mega Kuningan,near,Ritz-Carlton Jakarta is near Mega Kuningan,unknown_0
Ritz-Carlton Jakarta,JW Marriott Hotel,adjacent_to,Ritz-Carlton Jakarta is adjacent to JW Marriott Hotel,unknown_0
Ritz-Carlton Jakarta,Airlangga Apartment,comprises,Ritz-Carlton Jakarta comprises Airlangga Apartment,unknown_0
Ritz-Carlton Jakarta,city center,located_in,Ritz-Carlton Jakarta is located in the city center of Jakarta,unknown_0
Ritz-Carlton Jakarta,opening,instance_of,Ritz-Carlton Jakarta was opened in 2005,unknown_0
Oberoi family,The Oberoi Group,involved_in,The Oberoi family is involved in the hotel business through The Oberoi Group.,unknown_0
The Oberoi Group,hotels,type_of_business,The Oberoi Group is a hotel company.,unknown_0
Oberoi family,India,origin,The Oberoi family is from India.,unknown_0
Ishqbaaaz,Star Plus,broadcasts,Ishqbaaaz is broadcast on Star Plus,unknown_0
Ishqbaaaz,Nakuul Mehta,portrays,Nakuul Mehta portrays Shivaay in Ishqbaaaz,unknown_0
Ishqbaaaz,Kunal Jaisingh,portrays,Kunal Jaisingh portrays Omkara in Ishqbaaaz,unknown_0
