node,conceptualized_node,node_type
"The technology adopted enable the glazing product to reduce resources used in energy, such as lighting, e.g. instantly reactive glazing technology that changes the glass from clear to a dark blue tint, self tinted glass, etc.","energy, reduction, efficiency, innovation, glazing, technology",event
The Standard defines the verification methods to determine which labelling grade should be awarded to the product.,"standardization, verification, certification, labeling, compliance",event
Laboratory test report(s) on daylight transmittance are required.,"testing, measurement, analysis, data, transparency",event
"Instructions on how the product shall be installed, adjusted and protected in a sustainable manner, in order to prevent heat loss as a result of poor installation.","guidance, installation, maintenance, sustainability, efficiency",event
the evaluation criteria are listed in Table 2.,"listing, criteria, evaluation, reference",event
The document is copyrighted by the Construction Industry Council.,"copyright, ownership, licensing, intellectual, protection",event
The chemical tests should be conducted by either a third party or the manufacturer who has received the ISO17025 certification or relevant national accreditation systems.,"third party, accreditation, testing, certification, compliance",event
"a Bronze, Silver, Gold or Platinum Label will be awarded according to the total points accumulated","awarding, ranking, scoring, competition, recognition",event
The Standard sets out the assessment criteria and their benchmarks for glazing products,"standard, guidelines, assessment, regulation, benchmark",event
Each application should specify its types and product series,"categorization, classification, specification, organization, structuring",event
The product information should include recommended maintenance for the product.,"guidance, maintenance, upkeep, support, care",event
"The packaging materials shall: - o Not contain halogenated plastics,","regulation, compliance, non-toxic, ecofriendly, packaging",event
"Product shall NOT contain: Substances listed in IARC Group 1, 2A and 2B ≥ 0.1% by weight of the product","regulation, restriction, compliance, safety, purity",event
Bonus points will be awarded if SC or SHGC of the product the standard in Table 2.,"certification, compliance, standards, rating, evaluation",event
"Bonus points may be awarded for meeting ""Non-core Criteria"".","bonus, reward, criteria, points, meeting, noncore",event
The Platinum grade requires 90 or above points.,"grading, assessment, standard, achievement, excellence",event
The following requirements are applicable to all glazing products:,"standards, regulations, compliance, guidelines",event
The company has 50-59 points.,"scoring, grading, assessment, ranking",event
"Information on the product's U-value, solar heat gain coefficient (SHGC) and visible light transmittance (VLT).","building, energy, efficiency, insulation, rating",event
A company's decision to be awarded a 'Green' Label under this product category is to obtain 50 points.,"evaluation, certification, sustainability, scoring, compliance",event
The Applicant shall have effective energy management policies and procedures.,"management, efficiency, control, optimization",event
The document specifies the Core Criteria for GLAZING.,"specification, standards, guidelines, glazing",event
Bonus points may be awarded if the product meets the Non-core Criteria,"incentive, reward, criteria, award, bonus",event
"All certification, laboratory report and documentation must be valid during the assessment process and labelling period.","validation, verification, compliance, certification, documentation",event
The thermal insulation performance of the product should meet certain requirements.,"performance, testing, inspection, compliance, certification",event
the energy management programme is a requirement.,"requirement, necessity, obligation, management, regulation",event
"The product information should include instructions on installation, adjustment, and protection of the product.","installation, guidelines, protection, safety, setup",event
The Scheme is owned by the Construction Industry Council (CIC) and implemented by the Hong Kong Green Building Council (HKGBC),"partnership, collaboration, implementation, green, initiative",event
Documentation on the packaging materials used,"packaging, documentation, inventory, compliance",event
Glass blocks and bricks or glass used for internal partitions are excluded from this Standard,"construction, building, materials, partitions, standards",event
All submissions and documentations shall be endorsed by the Chief Executive Officer or other authorised personnel,"endorsement, validation, approval, authorization, signature",event
Laboratory test report(s) on the U-value of the glazing product.,"test, report, measurement, analysis, data",event
The company does not meet all minimum requirements laid down in the 'Core Criteria'.,"noncompliance, failure, deficiency, shortfall, inadequacy",event
"Product shall NOT contain: Substances listed in IARC Group 1, 2A and 2B ≥ 0.1% by weight of the product Organotin compounds Phthalates or polybrominated diphenylethers.","regulation, restriction, ban, safety, chemicals",event
"Laboratory test report(s) on the SC, SHGC, external reflectance and VLT of the glazing product are required.","testing, evaluation, certification, report, compliance",event
"The tests should be conducted by either a third party or manufacturer who has received ISO 17025 certification or national accreditation systems e.g. HOKLAS, CNAS (same applied to the verification methods hereafter).","certification, accreditation, testing, validation, verification",event
The Applicant must demonstrate conformance to the assessment criteria.,"demonstration, compliance, assessment, conformity",event
The glazing area of a building could account for 10 to 25% of a building's exposed surface,"glazing, façade, architecture, design, construction",event
"To obtain 50 points, a company must meet all minimum requirements laid down in the 'Core Criteria'.","achievement, qualification, criteria, scoring, compliance",event
The manufacturer of the product shall have effective energy management policies and procedures and / as an energy management programme.,"energy, efficiency, management, policy, sustainability",event
5 Bonus Points (Core Criterion) will be awarded for Visible Light Transmittance.,"light, transmittance, bonus, award, criterion",event
"Verification Documentation related to the above product information and instructions, web pages and any other information freely available to customers or the public.","verification, documentation, validation, compliance, accuracy",event
the product shall not contain any carcinogenic substances or chemicals.,"safety, purity, cleanliness, non-toxicity, compliance",event
Compliance with all applicable laws and regulations is a prerequisite for the manufacturing and marketing of the product,"compliance, regulation, certification, approval, standard",event
The U-value should be measured according to the applicable ISO 8990 or EN-ISO 12567 standard.,"measurement, standard, regulation, compliance, testing",event
The company meets all minimum requirements laid down in the 'Core Criteria' and has additional points between 50 and 89 points.,"pass, compliance, scoring, evaluation, standards",event
"The product shall fulfil the quality, safety, air leakage and other functional requirements according to the British Standards (BS), BS EN (European Standard), American Society for Testing and Materials (ASTM), Chinese National Standard (GB) or equivalent national standards.","certification, compliance, standard, regulation, testing, approval",event
The SHGC and VLT should be measured in accordance with the EN 410 or ISO 9050 standard.,"standardization, compliance, measurement, regulation",event
"The technology adopted enable the glazing product to reduce resources used in maintenance, e.g. self-cleaning glass, etc. Or Energy, such as lighting, e.g. instantly reactive glazing technology that changes the glass from clear to a dark blue tint, self tinted glass, etc.","technological, innovation, efficiency, energy, conservation",event
No Label is awarded below 50 points.,"no award, failure, poor performance",event
The overall heat transfer coefficient or U-value measures how well a glazing product transfer heat.,"heat transfer, thermal loss, insulation, conduction, energy efficiency",event
"The product information should include U-value, solar heat gain coefficient, and visible light transmittance.","specification, details, requirement, compliance, standards",event
The document requires laboratory test reports for shading coefficient.,"testing, reports, certification, compliance, standardization",event
The company meets all minimum requirements laid down in the 'Core Criteria' and has additional points beyond the 50 points.,"meeting, requirements, compliance, success, achievement",event
"The Applicant must submit verification of energy management policies, procedures and programmes.","submission, verification, compliance, regulation, policy, requirement",event
The Construction Industry Council established the CIC Green Product Certification Scheme.,"certification, standard, green, sustainability, initiative",event
"The purposes of the assessment criteria developed for glazing are, therefore, to promote the use of energy-efficient building envelop, and to minimise the environmental impact.","evaluation, efficiency, conservation, sustainability, assessment",event
The company has 50 points or more.,"scoring, achievement, threshold",event
The greatest environmental impact of glazing products is resulted from the energy losses during the building operation stage.,"energy loss, glazing impact, building stage, thermal loss, energy consumption",event
"Durability and environmental performance of glazing products is advocated in the glazing industry due to the increasing awareness of ""green products"" among the contractors, architects and end-users, etc.","green building, sustainability, energy efficiency, eco friendly, product advocacy",event
The company is eligible for a 'Bronze' Label under this product category.,"certification, recognition, label, award, qualification",event
