Name,Type
HKGBC Green Product Accreditation and Standards,Entity
EMAS Certificate,Entity
Visible Light Transmittance,Entity
information,Entity
Assessment criteria,Entity
Standards,Entity
laws and regulations,Entity
conduct,Entity
International Agency for Research on Cancer,Entity
assessment criteria,Entity
Glass blocks and bricks,Entity
EN673,Entity
phthalates or polybrominated diphenylethers,Entity
IARC,Entity
Technologies,Entity
Production documentation,Entity
European Union Directive 2001/59/EC,Entity
Recycled Material,Entity
glazing product to reduce resources used,Entity
extra environmental features,Entity
Product Functions,Entity
Hong Kong Green Building Council,Entity
verification methods,Entity
Coated glasses,Entity
HKAS,Entity
Guarantee certificate,Entity
evaluation criteria,Entity
HKGBC Green Product Accreditation and Standards [HK G-PASS],Entity
submissions,Entity
Directive 2001/59/EC,Entity
minimum requirements,Entity
Shading coefficient,Entity
CO2 emissions,Entity
Glazing Products,Entity
Test Reports,Entity
standards,Entity
ISO14001,Entity
label,Entity
conformance,Entity
energy management programme,Entity
Materials,Entity
Manufacturers,Entity
energy management policies,Entity
HKGAS,Entity
ISO,Entity
ISO14001 or EMAS certificate,Entity
Technology adopted,Entity
Energy consumption,Entity
tinted glazing product,Entity
Product Information,Entity
Table 1,Entity
grade glazing,Entity
Laboratory test report(s),Entity
product category,Entity
Energy-efficient building envelop,Entity
self-declaration letter,Entity
Glass manufacturer,Entity
Customers,Entity
ASTM E903,Entity
Glass,Entity
Third party,Entity
Grades,Entity
Public,Entity
double/triple glazing product,Entity
carcinogens,Entity
Glazing product,Entity
Packaging materials,Entity
substances,Entity
Certification,Entity
Company,Entity
GB,Entity
phthalates,Entity
EU Directives 2001/59/EC,Entity
Quality and performance tests,Entity
ISO14001 certification,Entity
Self-declaration letter,Entity
Test report,Entity
Silver grade,Entity
British Standards,Entity
Laboratory,Entity
production documentation,Entity
halogenated plastics,Entity
authorised personnel,Entity
conducted,Entity
Secondary environmental load,Entity
Applicable laws or regulations,Entity
Manufacturer's website,Entity
Energy consumption and reduction programme,Entity
other authorised representative,Entity
"substances listed in IARC Group 1, 2A and 2B",Entity
EU Eco-Management and Audit Scheme (EMAS),Entity
Non-core Criteria,Entity
ISO 8990,Entity
organotin compounds,Entity
antimony (Sb),Entity
Visible light transmittance,Entity
Guarantee,Entity
Laboratory report,Entity
Cooling Load,Entity
laboratory report,Entity
Substances,Entity
Verification Laboratory,Entity
accredited certification body,Entity
Website,Entity
certification,Entity
Labels,Entity
Maintenance,Entity
Technology,Entity
packaging materials,Entity
guarantee,Entity
Targets,Entity
documentation,Entity
functions,Entity
Hong Kong Green Building Council (HKGBC),Entity
70%,Entity
Section 4,Entity
glazing products,Entity
MSDS,Entity
Documentation on packaging materials,Entity
Environmental impacts,Entity
in 100 years,Entity
Surface treatment,Entity
decomposable,Entity
environmental impact,Entity
U-value,Entity
EN 410,Entity
Manufacturer,Entity
Construction Industry Council,Entity
Table 2,Entity
HOKLAS,Entity
Silver,Entity
meeting all minimum requirements,Entity
provided,Entity
BS EN,Entity
VLT,Entity
glazing product,Entity
Filler gases,Entity
Energy,Entity
carcinogenic substances,Entity
fulfil,Entity
No Label,Entity
chlorinated / brominated paraffins,Entity
EN673 (Glazing) and EN ISO 10077 (Frame / Casement),Entity
ISO 9050,Entity
lead (Pb),Entity
detailed plan(s),Entity
Waste management,Entity
Verification Documentation,Entity
resource consumption,Entity
Certification bodies,Entity
glass manufacturer,Entity
selenium (Se),Entity
ISO 8990 or EN-ISO 12567 standard,Entity
points,Entity
SHGC and VLT,Entity
EN-ISO 12567,Entity
ISO 17025 certification,Entity
GWP,Entity
Performance,Entity
50 points,Entity
Clear and tinted float glass,Entity
Halogenated Plastics,Entity
glass,Entity
Benchmarks,Entity
building,Entity
tests,Entity
Construction Industry Council (CIC),Entity
product packaging information,Entity
Glazing Manufacturing,Entity
compliance with laws and regulations,Entity
national accreditation system,Entity
initiatives,Entity
all relevant quality and performance tests,Entity
Test Report,Entity
laboratory test report,Entity
Product Packaging,Entity
The Scheme,Entity
Thermal Insulation Performance,Entity
assessment,Entity
Core Criteria,Entity
Glazing Product,Entity
chemical tests,Entity
product manufacturer,Entity
Similar products,Entity
Glass used for internal partitions,Entity
Hazardous substance emissions,Entity
This Standard,Entity
A building,Entity
Labelled product series,Entity
Effective energy management policies and procedures,Entity
Assessment Standard,Entity
Glazing products,Entity
Applicant,Entity
manufacturer,Entity
heat,Entity
Product packaging,Entity
Instructions,Entity
mercury (Hg),Entity
Platinum,Entity
50%,Entity
Bronze grade,Entity
Product manufacturer,Entity
SHGC,Entity
HKGBC,Entity
Chief Executive Officer,Entity
Green,Entity
Third-party,Entity
Laminated glass,Entity
filler gases,Entity
Documentation,Entity
cadmium (Cd),Entity
recyclable,Entity
EN ISO 10077,Entity
ISO17025 certification,Entity
International Agency for Research on Cancer (IARC),Entity
10-year guarantee to the product,Entity
$GWP_{100}$,Entity
Scheme,Entity
laboratory test report(s),Entity
toxic heavy metals,Entity
Tempered glass,Entity
up-to-date,Entity
Shading Coefficient,Entity
third party,Entity
provide,Entity
China National Accreditation Service for Conformity Assessment,Entity
cobalt (Co),Entity
External reflectance,Entity
Solar heat gain coefficient,Entity
hazardous substances,Entity
Green grade,Entity
20%,Entity
Each application,Entity
Product functions generated by technology,Entity
End of life cycle,Entity
National accreditation systems,Entity
product functions,Entity
CIC Green Product Certification,Entity
comprised of 100% recycled material or readily recyclable,Entity
equation below,Entity
GLAZING,Entity
Bronze,Entity
ASTM,Entity
Quality,Entity
EN 410 or ISO 9050 standard,Entity
EMAS certification,Entity
The product,Entity
compliance,Entity
product,Entity
arsenic (As),Entity
Standard,Entity
The Standard,Entity
insulating units,Entity
Laboratory test report,Entity
Packaging Materials,Entity
Label,Entity
possess,Entity
verification,Entity
Platinum grade,Entity
chromium (Cr),Entity
Spectral measurements,Entity
initiatives to reduce energy use and improve energy efficiency,Entity
Extra environmental features,Entity
Gold,Entity
polybrominated diphenyl ethers,Entity
quality,Entity
Instructions on installation,Entity
energy-efficient building envelop,Entity
Double or triple glazing,Entity
Green Label,Entity
Products,Entity
Gold grade,Entity
Subsequent applications,Entity
Water management,Entity
Product,Entity
"Targets shall be set to reduce the environmental impacts during the manufacturing process which include but not limited to the reduction of hazardous substance emissions, energy consumption, CO2 emissions, secondary environmental load, waste management, water management, etc.",Event
"The packaging materials shall be comprised of 100% recycled material or be readily recyclable, decomposable, or contain no coatings, impregnated chemicals or other materials that would prevent recycling or decomposition.",Event
The product information should be provided on the packaging of the product and/or company website.,Event
U-values are calculated to determine heat transfer through glazing products.,Event
Detailed plan(s) of energy consumption and reduction programme,Event
"The product shall also not contain organotin compounds, phthalates or polybrominated diphenyl ethers (PBDEs).",Event
No Label is awarded below 50 points.,Event
The following requirements are applicable to tinted glazing product only:,Event
The product information should include recommended maintenance for the product.,Event
Product packaging shall not contain halogenated plastics.,Event
The company does not meet all minimum requirements laid down in the 'Core Criteria'.,Event
"The purposes of the assessment criteria developed for glazing are, therefore, to promote the use of energy-efficient building envelop, and to minimise the environmental impact.",Event
"## <span id=""page-5-0""></span>**1. INTRODUCTION** <span id=""page-5-1""></span> ## **1.1 PURPOSE**",Event
