":START_ID",":END_ID","relation","concepts","synsets",":TYPE"
"Agent Alex Mercer","dwarfed","seemed","['appeared to be', 'resembled', 'looked', 'appeared', 'seemed']","[]","Relation"
"Agent Alex Mercer","projectors","scanned","['inspected', 'viewed', 'looked at', 'examined']","[]","Relation"
"Agent Alex Mercer","smile","flickered","['flash', 'pulse', 'flicker', 'shine', 'sparkle']","[]","Relation"
"Agent Alex Mercer","folder","thumbed","['pressed', 'tapped', 'clicked', 'touched']","[]","Relation"
"Agent Alex Mercer","compliance","offered","['donate', 'give', 'present', 'provide', 'offer']","[]","Relation"
"Agent Alex Mercer","seat","straightened","['corrected', 'straightened', 'aligned', 'adjusted', 'smoothed']","[]","Relation"
"Agent Alex Mercer","Taylor's gaze","met","['came across', 'ran into', 'collided with', 'encountered', 'bumped into']","[]","Relation"
"Taylor Cruz","Agent Mercer","asked","['queried', 'sought', 'questioned', 'inquired', 'requested']","[]","Relation"
"Taylor Cruz","dismissively","snorted","['exhaled', 'snorted', 'sneezed', 'emitted', 'let out']","[]","Relation"
"Taylor Cruz","reprimand","directed","['lead', 'manage', 'guide', 'steer', 'point']","[]","Relation"
"Jordan Hayes","eyes","narrowed","['compress', 'shrink', 'become smaller', 'condense', 'decrease']","[]","Relation"
"Jordan Hayes","supportive nod","offered","['donate', 'give', 'present', 'provide', 'offer']","[]","Relation"
"Jordan Hayes","head","tilted","['lean', 'incline', 'slant', 'slope', 'tip']","[]","Relation"
"Jordan Hayes","spark of understanding","revealed","['shown', 'laid bare', 'uncovered', 'disclosed', 'exposed']","[]","Relation"
"Sam Rivera","comment","added","['incorporate', 'attach', 'integrate', 'append', 'insert']","[]","Relation"
"Sam Rivera","transmission logs","combed","['brushed', 'groomed', 'smoothed']","[]","Relation"
"Taylor Cruz","group","focused","['prioritize', 'concentrate', 'focus on', 'emphasize', 'center']","[]","Relation"
"Agent Alex Mercer","compliance","conflicted","['collide', 'resist', 'oppose', 'clash', 'disagree']","[]","Relation"
"Agent Alex Mercer","determination","galvanized","['inspired', 'energized', 'motivated', 'electrified']","[]","Relation"
"The thrumming of monitors cast a stark contrast to the rigid silence enveloping the group.","Agent Alex Mercer, unfailingly determined on paper, seemed dwarfed by the enormity of the sterile briefing room where Paranormal Military Squad's elite convened.","at the same time","['coincide', 'synchronize', 'occur together', 'happen simultaneously', 'coexist']","[]","Relation"
"Agent Alex Mercer, unfailingly determined on paper, seemed dwarfed by the enormity of the sterile briefing room where Paranormal Military Squad's elite convened.","With dulled eyes, he scanned the projectors outlining their impending odyssey into Operation: Dulce.","because","['due to', 'owing to', 'on account of', 'thanks to', 'as a result of']","[]","Relation"
"It was Taylor Cruz’s voice, laced with an edge that demanded attention.","Alex flickered a strained smile, still thumbing his folder's corner.","because","['due to', 'owing to', 'on account of', 'thanks to', 'as a result of']","[]","Relation"
"Alex flickered a strained smile, still thumbing his folder's corner.","'Of course not, Agent Cruz. Just trying to soak in all the details.'","because","['due to', 'owing to', 'on account of', 'thanks to', 'as a result of']","[]","Relation"
"Jordan Hayes, perched on the opposite side of the table, narrowed their eyes but offered a supportive nod.","'Details are imperative. We’ll need your clear-headedness down there, Mercer.'","at the same time","['coincide', 'synchronize', 'occur together', 'happen simultaneously', 'coexist']","[]","Relation"
"'Details are imperative. We’ll need your clear-headedness down there, Mercer.'","A comfortable silence, the kind that threaded between veterans of shared secrets, lingered briefly","because","['due to', 'owing to', 'on account of', 'thanks to', 'as a result of']","[]","Relation"
"A comfortable silence, the kind that threaded between veterans of shared secrets, lingered briefly","Sam Rivera, never one to submit to quiet, added, 'I’ve combed through the last transmission logs. If anyone can make sense of the anomalies, it’s going to be the two of you.'","before","['lead', 'precede', 'come before', 'antecede']","[]","Relation"
"Taylor snorted dismissively.","The words 'counter-productive' seemed to hang in the air, a tacit reprimand directed at Alex.","because","['due to', 'owing to', 'on account of', 'thanks to', 'as a result of']","[]","Relation"
"Feeling the weight of his compliance conflicting with his natural inclination to leave no stone unturned, Alex straightened in his seat.","'I agree, Agent Cruz. Protocol is paramount,' he said, meeting Taylor's steely gaze.","because","['due to', 'owing to', 'on account of', 'thanks to', 'as a result of']","[]","Relation"
"Alex's submission, though seemingly complete, didn't escape Jordan, who tilted their head ever so slightly, their eyes revealing a spark of understanding.","They knew well enough the struggle of aligning personal convictions with overarching missions.","as a result","['outcome', 'stem from', 'follow', 'result', 'cause', 'derive', 'lead to', 'consequence']","[]","Relation"
