Name,Type
黄巾’,Entity
左右急救入宫,Entity
封谞,Entity
百官,Entity
刘焉,Entity
太傅陈蕃,Entity
鄭玄,Entity
皇帝,Entity
邹靖,Entity
"虹 ,玉堂 ,五原山岸",Entity
不第秀才,Entity
招募义兵,Entity
中山靖王刘胜之后,Entity
幽州,Entity
幽州太守,Entity
南华老仙,Entity
汉朝,Entity
高祖,Entity
楚,Entity
张角,Entity
大贤良师,Entity
马元义,Entity
大将军窦武,Entity
"太平要术, 世人",Entity
四方百姓,Entity
周末七国,Entity
帝,Entity
汉,Entity
大青蛇,Entity
椅上,Entity
"黑气 ,温德殿",Entity
太平要术,Entity
汉鲁恭王之后,Entity
张梁,Entity
中平元年,Entity
张宝,Entity
光武,Entity
宦官曹节,Entity
左右侍从,Entity
大将军何进,Entity
献帝,Entity
雌鸡化雄,Entity
虹现于玉堂五原山岸崩裂,Entity
郑玄、卢植,Entity
疫气,Entity
钜鹿郡,Entity
沿海居民,Entity
地公将军,Entity
盧植,Entity
天书三卷,Entity
三国,Entity
秦,Entity
刘备,Entity
温德殿,Entity
黑气飞入温德殿中,Entity
种种不祥非止一端 },Entity
洛阳,Entity
封谞等人被收押下狱,Event
并入于秦,Event
张角一军前犯幽州界分,Event
后来光武中兴，传至献帝，遂分为三国。,Event
六月朔黑气十余丈飞入温德殿中,Event
光武中兴,Event
殆始于桓、灵二帝,Event
时有宦官曹节等弄权.,Event
帝御温德殿，方升座，殿角狂风骤起,Event
中平元年正月内疫气流行,Event
邹靖建议刘焉招军应敌。,Event
百官奔避,Event
传至献帝,Event
周末七国分争，并入于秦。,Event
帝召大将军何进调兵擒马元义,Event
建宁二年四月望日，皇帝在温德殿举行仪式。,Event
老人以天书三卷授之,Event
幽州太守刘焉召校尉邹靖计议。,Event
帝惊倒,Event
四方百姓裹黄巾从张角反者四五十万,Event
海水泛滥沿海居民尽被大浪卷入海中,Event
"斩之 ,次收封谞等一干人下狱",Event
能呼风唤雨，号为「太平道人」,Event
四方百姓裹黄巾从反者四五十万,Event
一条大青蛇从梁上飞将下来，蟠于椅上,Event
建宁四年二月洛阳地震,Event
幽州太守刘焉召校尉邹靖计议,Event
张角得此书，晓夜功习,Event
周末七国分争,Event
高祖斩白蛇而起义,Event
张角一军侵犯幽州界分。,Event
皇帝因惊吓而倒下，左右侍从急救入宫。,Event
汉朝自高祖斩白蛇而起义，一统天下。,Event
大将军窦武、太傅陈蕃共相辅佐.,Event
一条大青蛇从梁上飞下，蟠于椅上。,Event
邹靖建议刘焉速招军应敌,Event
秦灭之后，楚、汉分争，又并入于汉。,Event
马元义被大将军何进调兵擒获并斩首,Event
南华老仙将天书三卷授予张角，并告知其用途。,Event
推其致乱之由,Event
贼势浩大官军望风而靡,Event
秋七月有虹现于玉堂五原山岸尽皆崩裂,Event
一统天下,Event
张角入山采药，遇一老人,Event
嘗師事鄭玄、盧植.,Event
楚、汉分争,Event
秦灭之后,Event
张角入山采药时遇到南华老仙。,Event
张角在钜鹿郡与兄弟张宝、张梁一起生活。,Event
蟠于,Relation
结果,Relation
同时,Relation
师事,Relation
建议,Relation
自称,Relation
被,Relation
之后,Relation
之前,Relation
遇到,Relation
授予,Relation
担任,Relation
因为,Relation
引起,Relation
学习,Relation
is participated by,Relation
称为,Relation
是,Relation
御,Relation
进犯,Relation
