:START_ID,:END_ID,:TYPE
张角,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
不第秀才,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
南华老仙,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
太平要术,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
大贤良师,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
张宝,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
地公将军,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
张角入山采药，遇一老人,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
老人以天书三卷授之,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
张角得此书，晓夜功习,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
能呼风唤雨，号为「太平道人」,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
帝召大将军何进调兵擒马元义,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
"斩之 ,次收封谞等一干人下狱",9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
四方百姓裹黄巾从张角反者四五十万,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
贼势浩大官军望风而靡,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
张角在钜鹿郡与兄弟张宝、张梁一起生活。,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
钜鹿郡,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
张梁,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
张角入山采药时遇到南华老仙。,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
南华老仙将天书三卷授予张角，并告知其用途。,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
天书三卷,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
"太平要术, 世人",9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
中平元年正月内疫气流行,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
中平元年,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
疫气,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
马元义被大将军何进调兵擒获并斩首,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
马元义,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
大将军何进,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
封谞等人被收押下狱,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
封谞,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
四方百姓裹黄巾从反者四五十万,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
四方百姓,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
黄巾’,9a5fdda8b76cdf6248da4c802cc081b7b057d52356f2a70ea86de7d0f44c6ba8,Source
幽州,a7e9cb722ddbd5477ab9068501cca1bea7f0c949626923bf2ca570404ed59d0f,Source
刘焉,a7e9cb722ddbd5477ab9068501cca1bea7f0c949626923bf2ca570404ed59d0f,Source
幽州太守,a7e9cb722ddbd5477ab9068501cca1bea7f0c949626923bf2ca570404ed59d0f,Source
汉鲁恭王之后,a7e9cb722ddbd5477ab9068501cca1bea7f0c949626923bf2ca570404ed59d0f,Source
邹靖,a7e9cb722ddbd5477ab9068501cca1bea7f0c949626923bf2ca570404ed59d0f,Source
招募义兵,a7e9cb722ddbd5477ab9068501cca1bea7f0c949626923bf2ca570404ed59d0f,Source
刘备,a7e9cb722ddbd5477ab9068501cca1bea7f0c949626923bf2ca570404ed59d0f,Source
中山靖王刘胜之后,a7e9cb722ddbd5477ab9068501cca1bea7f0c949626923bf2ca570404ed59d0f,Source
郑玄、卢植,a7e9cb722ddbd5477ab9068501cca1bea7f0c949626923bf2ca570404ed59d0f,Source
张角一军前犯幽州界分,a7e9cb722ddbd5477ab9068501cca1bea7f0c949626923bf2ca570404ed59d0f,Source
幽州太守刘焉召校尉邹靖计议,a7e9cb722ddbd5477ab9068501cca1bea7f0c949626923bf2ca570404ed59d0f,Source
邹靖建议刘焉速招军应敌,a7e9cb722ddbd5477ab9068501cca1bea7f0c949626923bf2ca570404ed59d0f,Source
张角一军侵犯幽州界分。,a7e9cb722ddbd5477ab9068501cca1bea7f0c949626923bf2ca570404ed59d0f,Source
幽州太守刘焉召校尉邹靖计议。,a7e9cb722ddbd5477ab9068501cca1bea7f0c949626923bf2ca570404ed59d0f,Source
邹靖建议刘焉招军应敌。,a7e9cb722ddbd5477ab9068501cca1bea7f0c949626923bf2ca570404ed59d0f,Source
嘗師事鄭玄、盧植.,a7e9cb722ddbd5477ab9068501cca1bea7f0c949626923bf2ca570404ed59d0f,Source
鄭玄,a7e9cb722ddbd5477ab9068501cca1bea7f0c949626923bf2ca570404ed59d0f,Source
盧植,a7e9cb722ddbd5477ab9068501cca1bea7f0c949626923bf2ca570404ed59d0f,Source
周末七国分争,b93e57959b279ff875070663241f6f9bff91defb5ac3d79306f95a4c6d98e88c,Source
并入于秦,b93e57959b279ff875070663241f6f9bff91defb5ac3d79306f95a4c6d98e88c,Source
秦灭之后,b93e57959b279ff875070663241f6f9bff91defb5ac3d79306f95a4c6d98e88c,Source
楚、汉分争,b93e57959b279ff875070663241f6f9bff91defb5ac3d79306f95a4c6d98e88c,Source
高祖斩白蛇而起义,b93e57959b279ff875070663241f6f9bff91defb5ac3d79306f95a4c6d98e88c,Source
一统天下,b93e57959b279ff875070663241f6f9bff91defb5ac3d79306f95a4c6d98e88c,Source
光武中兴,b93e57959b279ff875070663241f6f9bff91defb5ac3d79306f95a4c6d98e88c,Source
传至献帝,b93e57959b279ff875070663241f6f9bff91defb5ac3d79306f95a4c6d98e88c,Source
推其致乱之由,b93e57959b279ff875070663241f6f9bff91defb5ac3d79306f95a4c6d98e88c,Source
殆始于桓、灵二帝,b93e57959b279ff875070663241f6f9bff91defb5ac3d79306f95a4c6d98e88c,Source
周末七国分争，并入于秦。,b93e57959b279ff875070663241f6f9bff91defb5ac3d79306f95a4c6d98e88c,Source
周末七国,b93e57959b279ff875070663241f6f9bff91defb5ac3d79306f95a4c6d98e88c,Source
秦,b93e57959b279ff875070663241f6f9bff91defb5ac3d79306f95a4c6d98e88c,Source
秦灭之后，楚、汉分争，又并入于汉。,b93e57959b279ff875070663241f6f9bff91defb5ac3d79306f95a4c6d98e88c,Source
楚,b93e57959b279ff875070663241f6f9bff91defb5ac3d79306f95a4c6d98e88c,Source
汉,b93e57959b279ff875070663241f6f9bff91defb5ac3d79306f95a4c6d98e88c,Source
汉朝自高祖斩白蛇而起义，一统天下。,b93e57959b279ff875070663241f6f9bff91defb5ac3d79306f95a4c6d98e88c,Source
汉朝,b93e57959b279ff875070663241f6f9bff91defb5ac3d79306f95a4c6d98e88c,Source
高祖,b93e57959b279ff875070663241f6f9bff91defb5ac3d79306f95a4c6d98e88c,Source
后来光武中兴，传至献帝，遂分为三国。,b93e57959b279ff875070663241f6f9bff91defb5ac3d79306f95a4c6d98e88c,Source
光武,b93e57959b279ff875070663241f6f9bff91defb5ac3d79306f95a4c6d98e88c,Source
献帝,b93e57959b279ff875070663241f6f9bff91defb5ac3d79306f95a4c6d98e88c,Source
三国,b93e57959b279ff875070663241f6f9bff91defb5ac3d79306f95a4c6d98e88c,Source
大将军窦武、太傅陈蕃共相辅佐.,b93e57959b279ff875070663241f6f9bff91defb5ac3d79306f95a4c6d98e88c,Source
大将军窦武,b93e57959b279ff875070663241f6f9bff91defb5ac3d79306f95a4c6d98e88c,Source
太傅陈蕃,b93e57959b279ff875070663241f6f9bff91defb5ac3d79306f95a4c6d98e88c,Source
时有宦官曹节等弄权.,b93e57959b279ff875070663241f6f9bff91defb5ac3d79306f95a4c6d98e88c,Source
宦官曹节,b93e57959b279ff875070663241f6f9bff91defb5ac3d79306f95a4c6d98e88c,Source
帝,999cecedffe7ce1bd9894537270c21f06996513af7a20075d83c00d4c43efce9,Source
温德殿,999cecedffe7ce1bd9894537270c21f06996513af7a20075d83c00d4c43efce9,Source
大青蛇,999cecedffe7ce1bd9894537270c21f06996513af7a20075d83c00d4c43efce9,Source
椅上,999cecedffe7ce1bd9894537270c21f06996513af7a20075d83c00d4c43efce9,Source
左右急救入宫,999cecedffe7ce1bd9894537270c21f06996513af7a20075d83c00d4c43efce9,Source
雌鸡化雄,999cecedffe7ce1bd9894537270c21f06996513af7a20075d83c00d4c43efce9,Source
黑气飞入温德殿中,999cecedffe7ce1bd9894537270c21f06996513af7a20075d83c00d4c43efce9,Source
虹现于玉堂五原山岸崩裂,999cecedffe7ce1bd9894537270c21f06996513af7a20075d83c00d4c43efce9,Source
种种不祥非止一端 },999cecedffe7ce1bd9894537270c21f06996513af7a20075d83c00d4c43efce9,Source
帝御温德殿，方升座，殿角狂风骤起,999cecedffe7ce1bd9894537270c21f06996513af7a20075d83c00d4c43efce9,Source
一条大青蛇从梁上飞将下来，蟠于椅上,999cecedffe7ce1bd9894537270c21f06996513af7a20075d83c00d4c43efce9,Source
帝惊倒,999cecedffe7ce1bd9894537270c21f06996513af7a20075d83c00d4c43efce9,Source
建宁二年四月望日，皇帝在温德殿举行仪式。,999cecedffe7ce1bd9894537270c21f06996513af7a20075d83c00d4c43efce9,Source
皇帝,999cecedffe7ce1bd9894537270c21f06996513af7a20075d83c00d4c43efce9,Source
一条大青蛇从梁上飞下，蟠于椅上。,999cecedffe7ce1bd9894537270c21f06996513af7a20075d83c00d4c43efce9,Source
皇帝因惊吓而倒下，左右侍从急救入宫。,999cecedffe7ce1bd9894537270c21f06996513af7a20075d83c00d4c43efce9,Source
左右侍从,999cecedffe7ce1bd9894537270c21f06996513af7a20075d83c00d4c43efce9,Source
百官奔避,999cecedffe7ce1bd9894537270c21f06996513af7a20075d83c00d4c43efce9,Source
百官,999cecedffe7ce1bd9894537270c21f06996513af7a20075d83c00d4c43efce9,Source
建宁四年二月洛阳地震,999cecedffe7ce1bd9894537270c21f06996513af7a20075d83c00d4c43efce9,Source
