:START_ID,:END_ID,relation,concepts,synsets,:TYPE
张角,不第秀才,是,[],[],Relation
张角,南华老仙,遇到,[],[],Relation
南华老仙,太平要术,授予,[],[],Relation
张角,太平要术,学习,[],[],Relation
张角,大贤良师,自称,[],[],Relation
张宝,地公将军,称为,[],[],Relation
张角入山采药，遇一老人,老人以天书三卷授之,因为,[],[],Relation
张角得此书，晓夜功习,能呼风唤雨，号为「太平道人」,结果,[],[],Relation
帝召大将军何进调兵擒马元义,"斩之 ,次收封谞等一干人下狱",之后,[],[],Relation
四方百姓裹黄巾从张角反者四五十万,贼势浩大官军望风而靡,同时,[],[],Relation
张角在钜鹿郡与兄弟张宝、张梁一起生活。,张角,is participated by,[],[],Relation
张角在钜鹿郡与兄弟张宝、张梁一起生活。,钜鹿郡,is participated by,[],[],Relation
张角在钜鹿郡与兄弟张宝、张梁一起生活。,张宝,is participated by,[],[],Relation
张角在钜鹿郡与兄弟张宝、张梁一起生活。,张梁,is participated by,[],[],Relation
张角入山采药时遇到南华老仙。,张角,is participated by,[],[],Relation
张角入山采药时遇到南华老仙。,南华老仙,is participated by,[],[],Relation
南华老仙将天书三卷授予张角，并告知其用途。,南华老仙,is participated by,[],[],Relation
南华老仙将天书三卷授予张角，并告知其用途。,天书三卷,is participated by,[],[],Relation
南华老仙将天书三卷授予张角，并告知其用途。,"太平要术, 世人",is participated by,[],[],Relation
中平元年正月内疫气流行,中平元年,is participated by,[],[],Relation
中平元年正月内疫气流行,疫气,is participated by,[],[],Relation
马元义被大将军何进调兵擒获并斩首,马元义,is participated by,[],[],Relation
马元义被大将军何进调兵擒获并斩首,大将军何进,is participated by,[],[],Relation
封谞等人被收押下狱,封谞,is participated by,[],[],Relation
四方百姓裹黄巾从反者四五十万,四方百姓,is participated by,[],[],Relation
四方百姓裹黄巾从反者四五十万,黄巾’,is participated by,[],[],Relation
张角,幽州,进犯,[],[],Relation
刘焉,幽州太守,担任,[],[],Relation
刘焉,汉鲁恭王之后,是,[],[],Relation
邹靖,招募义兵,建议,[],[],Relation
刘备,中山靖王刘胜之后,是,[],[],Relation
刘备,郑玄、卢植,师事,[],[],Relation
张角一军前犯幽州界分,幽州太守刘焉召校尉邹靖计议,因为,[],[],Relation
幽州太守刘焉召校尉邹靖计议,邹靖建议刘焉速招军应敌,结果,[],[],Relation
张角一军侵犯幽州界分。,张角,is participated by,[],[],Relation
张角一军侵犯幽州界分。,幽州,is participated by,[],[],Relation
幽州太守刘焉召校尉邹靖计议。,刘焉,is participated by,[],[],Relation
幽州太守刘焉召校尉邹靖计议。,邹靖,is participated by,[],[],Relation
邹靖建议刘焉招军应敌。,邹靖,is participated by,[],[],Relation
邹靖建议刘焉招军应敌。,刘焉,is participated by,[],[],Relation
嘗師事鄭玄、盧植.,鄭玄,is participated by,[],[],Relation
嘗師事鄭玄、盧植.,盧植,is participated by,[],[],Relation
周末七国分争,并入于秦,之前,[],[],Relation
秦灭之后,楚、汉分争,之后,[],[],Relation
高祖斩白蛇而起义,一统天下,因为,[],[],Relation
光武中兴,传至献帝,之后,[],[],Relation
推其致乱之由,殆始于桓、灵二帝,因为,[],[],Relation
周末七国分争，并入于秦。,周末七国,is participated by,[],[],Relation
周末七国分争，并入于秦。,秦,is participated by,[],[],Relation
秦灭之后，楚、汉分争，又并入于汉。,秦,is participated by,[],[],Relation
秦灭之后，楚、汉分争，又并入于汉。,楚,is participated by,[],[],Relation
秦灭之后，楚、汉分争，又并入于汉。,汉,is participated by,[],[],Relation
汉朝自高祖斩白蛇而起义，一统天下。,汉朝,is participated by,[],[],Relation
汉朝自高祖斩白蛇而起义，一统天下。,高祖,is participated by,[],[],Relation
后来光武中兴，传至献帝，遂分为三国。,光武,is participated by,[],[],Relation
后来光武中兴，传至献帝，遂分为三国。,献帝,is participated by,[],[],Relation
后来光武中兴，传至献帝，遂分为三国。,三国,is participated by,[],[],Relation
大将军窦武、太傅陈蕃共相辅佐.,大将军窦武,is participated by,[],[],Relation
大将军窦武、太傅陈蕃共相辅佐.,太傅陈蕃,is participated by,[],[],Relation
时有宦官曹节等弄权.,宦官曹节,is participated by,[],[],Relation
帝,温德殿,御,[],[],Relation
大青蛇,椅上,蟠于,[],[],Relation
帝,左右急救入宫,被,[],[],Relation
雌鸡化雄,黑气飞入温德殿中,引起,[],[],Relation
虹现于玉堂五原山岸崩裂,种种不祥非止一端 },引起,[],[],Relation
帝御温德殿，方升座，殿角狂风骤起,一条大青蛇从梁上飞将下来，蟠于椅上,之后,[],[],Relation
帝惊倒,左右急救入宫,之后,[],[],Relation
建宁二年四月望日，皇帝在温德殿举行仪式。,皇帝,is participated by,[],[],Relation
建宁二年四月望日，皇帝在温德殿举行仪式。,温德殿,is participated by,[],[],Relation
一条大青蛇从梁上飞下，蟠于椅上。,大青蛇,is participated by,[],[],Relation
皇帝因惊吓而倒下，左右侍从急救入宫。,皇帝,is participated by,[],[],Relation
皇帝因惊吓而倒下，左右侍从急救入宫。,左右侍从,is participated by,[],[],Relation
百官奔避,百官,is participated by,[],[],Relation
建宁四年二月洛阳地震,洛阳,is participated by,[],[],Relation
海水泛滥沿海居民尽被大浪卷入海中,沿海居民,is participated by,[],[],Relation
六月朔黑气十余丈飞入温德殿中,"黑气 ,温德殿",is participated by,[],[],Relation
秋七月有虹现于玉堂五原山岸尽皆崩裂,"虹 ,玉堂 ,五原山岸",is participated by,[],[],Relation
