name:ID,type,concepts,synsets,:LABEL
张角,entity,[],[],Node
不第秀才,entity,[],[],Node
南华老仙,entity,[],[],Node
太平要术,entity,[],[],Node
大贤良师,entity,[],[],Node
张宝,entity,[],[],Node
地公将军,entity,[],[],Node
张角入山采药，遇一老人,event,[],[],Node
老人以天书三卷授之,event,[],[],Node
张角得此书，晓夜功习,event,[],[],Node
能呼风唤雨，号为「太平道人」,event,[],[],Node
帝召大将军何进调兵擒马元义,event,[],[],Node
"斩之 ,次收封谞等一干人下狱",event,[],[],Node
四方百姓裹黄巾从张角反者四五十万,event,[],[],Node
贼势浩大官军望风而靡,event,[],[],Node
张角在钜鹿郡与兄弟张宝、张梁一起生活。,event,[],[],Node
钜鹿郡,entity,[],[],Node
张梁,entity,[],[],Node
张角入山采药时遇到南华老仙。,event,[],[],Node
南华老仙将天书三卷授予张角，并告知其用途。,event,[],[],Node
天书三卷,entity,[],[],Node
"太平要术, 世人",entity,[],[],Node
中平元年正月内疫气流行,event,[],[],Node
中平元年,entity,[],[],Node
疫气,entity,[],[],Node
马元义被大将军何进调兵擒获并斩首,event,[],[],Node
马元义,entity,[],[],Node
大将军何进,entity,[],[],Node
封谞等人被收押下狱,event,[],[],Node
封谞,entity,[],[],Node
四方百姓裹黄巾从反者四五十万,event,[],[],Node
四方百姓,entity,[],[],Node
黄巾’,entity,[],[],Node
幽州,entity,[],[],Node
刘焉,entity,[],[],Node
幽州太守,entity,[],[],Node
汉鲁恭王之后,entity,[],[],Node
邹靖,entity,[],[],Node
招募义兵,entity,[],[],Node
刘备,entity,[],[],Node
中山靖王刘胜之后,entity,[],[],Node
郑玄、卢植,entity,[],[],Node
张角一军前犯幽州界分,event,[],[],Node
幽州太守刘焉召校尉邹靖计议,event,[],[],Node
邹靖建议刘焉速招军应敌,event,[],[],Node
张角一军侵犯幽州界分。,event,[],[],Node
幽州太守刘焉召校尉邹靖计议。,event,[],[],Node
邹靖建议刘焉招军应敌。,event,[],[],Node
嘗師事鄭玄、盧植.,event,[],[],Node
鄭玄,entity,[],[],Node
盧植,entity,[],[],Node
周末七国分争,event,[],[],Node
并入于秦,event,[],[],Node
秦灭之后,event,[],[],Node
楚、汉分争,event,[],[],Node
高祖斩白蛇而起义,event,[],[],Node
一统天下,event,[],[],Node
光武中兴,event,[],[],Node
传至献帝,event,[],[],Node
推其致乱之由,event,[],[],Node
殆始于桓、灵二帝,event,[],[],Node
周末七国分争，并入于秦。,event,[],[],Node
周末七国,entity,[],[],Node
秦,entity,[],[],Node
秦灭之后，楚、汉分争，又并入于汉。,event,[],[],Node
楚,entity,[],[],Node
汉,entity,[],[],Node
汉朝自高祖斩白蛇而起义，一统天下。,event,[],[],Node
汉朝,entity,[],[],Node
高祖,entity,[],[],Node
后来光武中兴，传至献帝，遂分为三国。,event,[],[],Node
光武,entity,[],[],Node
献帝,entity,[],[],Node
三国,entity,[],[],Node
大将军窦武、太傅陈蕃共相辅佐.,event,[],[],Node
大将军窦武,entity,[],[],Node
太傅陈蕃,entity,[],[],Node
时有宦官曹节等弄权.,event,[],[],Node
宦官曹节,entity,[],[],Node
帝,entity,[],[],Node
温德殿,entity,[],[],Node
大青蛇,entity,[],[],Node
椅上,entity,[],[],Node
左右急救入宫,entity,[],[],Node
雌鸡化雄,entity,[],[],Node
黑气飞入温德殿中,entity,[],[],Node
虹现于玉堂五原山岸崩裂,entity,[],[],Node
种种不祥非止一端 },entity,[],[],Node
帝御温德殿，方升座，殿角狂风骤起,event,[],[],Node
一条大青蛇从梁上飞将下来，蟠于椅上,event,[],[],Node
帝惊倒,event,[],[],Node
建宁二年四月望日，皇帝在温德殿举行仪式。,event,[],[],Node
皇帝,entity,[],[],Node
一条大青蛇从梁上飞下，蟠于椅上。,event,[],[],Node
皇帝因惊吓而倒下，左右侍从急救入宫。,event,[],[],Node
左右侍从,entity,[],[],Node
百官奔避,event,[],[],Node
百官,entity,[],[],Node
建宁四年二月洛阳地震,event,[],[],Node
洛阳,entity,[],[],Node
海水泛滥沿海居民尽被大浪卷入海中,event,[],[],Node
沿海居民,entity,[],[],Node
六月朔黑气十余丈飞入温德殿中,event,[],[],Node
"黑气 ,温德殿",entity,[],[],Node
秋七月有虹现于玉堂五原山岸尽皆崩裂,event,[],[],Node
"虹 ,玉堂 ,五原山岸",entity,[],[],Node
